"","HeatingQC","CentralAir","ElectricalType","FirstFloorSqft","SecondFloorSqft","Abovegradeliving","BaseFullBath","BaseHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","GarageType"
"261","TA",1,"SBrkr",1382,0,1382,1,0,1,0,3,1,"TA","Typ",1,"Attchd"
"262","Ex",1,"SBrkr",1482,1092,2574,0,0,2,1,3,1,"Ex","Typ",1,"BuiltIn"
"263","TA",1,"SBrkr",1212,0,1212,1,0,1,0,3,1,"TA","Typ",1,"Attchd"
"264","TA",1,"SBrkr",926,0,1316,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"265","Gd",0,"FuseP",764,0,764,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"266","TA",1,"SBrkr",1422,0,1422,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"267","Gd",1,"SBrkr",802,709,1511,1,0,2,1,3,1,"TA","Typ",1,"Attchd"
"268","Ex",1,"SBrkr",1052,720,2192,0,0,2,1,4,1,"Gd","Typ",1,"Detchd"
"269","Ex",1,"SBrkr",778,0,778,0,0,1,0,2,1,"TA","Typ",1,"Detchd"
"270","TA",1,"SBrkr",1113,0,1113,1,0,1,1,3,1,"TA","Typ",1,"Attchd"
"271","Gd",1,"SBrkr",1095,844,1939,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"272","Ex",1,"SBrkr",1363,0,1363,1,0,1,0,2,1,"TA","Deduction",2,"Attchd"
"273","Ex",1,"SBrkr",1164,1106,2270,0,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"274","Gd",1,"SBrkr",1632,0,1632,1,0,2,0,3,1,"TA","Deduction",1,"Attchd"
"275","TA",1,"SBrkr",816,0,816,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"276","Gd",0,"SBrkr",952,596,1548,0,0,2,1,3,1,"Ex","Typ",0,"Detchd"
"277","Ex",1,"SBrkr",1560,0,1560,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"278","Ex",1,"SBrkr",864,0,864,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"279","Ex",1,"SBrkr",2121,0,2121,0,0,2,1,3,1,"Ex","Typ",1,"Attchd"
"280","Ex",1,"SBrkr",1156,866,2022,0,0,2,1,4,1,"TA","Typ",1,"Attchd"
"281","Gd",1,"SBrkr",1175,807,1982,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"282","Gd",1,"SBrkr",1262,0,1262,0,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"283","Ex",1,"SBrkr",1314,0,1314,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"284","Ex",1,"SBrkr",1468,0,1468,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"285","Gd",1,"SBrkr",1575,0,1575,1,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"286","Ex",1,"SBrkr",625,625,1250,0,0,2,1,2,1,"Gd","Typ",0,"Detchd"
"287","TA",1,"SBrkr",1085,649,1734,0,0,1,1,3,1,"Gd","Typ",1,"Attchd"
"288","TA",1,"SBrkr",858,0,858,0,0,1,0,3,1,"TA","Typ",0,"No Garage"
"289","TA",1,"SBrkr",900,0,900,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"290","Ex",1,"FuseA",698,698,1396,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"291","Ex",1,"SBrkr",1079,840,1919,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"292","Ex",0,"SBrkr",936,780,1716,1,0,2,0,6,1,"Fa","Typ",0,"No Garage"
"293","Gd",1,"SBrkr",1148,568,1716,0,0,1,1,3,1,"TA","Deduction",1,"Attchd"
"294","Fa",1,"SBrkr",1468,795,2263,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"295","TA",1,"SBrkr",1644,0,1644,1,0,1,0,3,1,"TA","Typ",2,"Attchd"
"296","TA",1,"SBrkr",1003,0,1003,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"297","TA",1,"FuseA",910,648,1558,0,0,1,1,4,1,"TA","Typ",0,"Attchd"
"298","Ex",1,"SBrkr",975,975,1950,0,0,2,1,3,1,"Gd","Typ",1,"Detchd"
"299","Gd",1,"SBrkr",1041,702,1743,0,1,1,2,3,1,"TA","Typ",1,"Attchd"
"300","Ex",1,"SBrkr",1152,0,1152,0,1,1,0,3,1,"Gd","Typ",1,"Attchd"
"301","TA",1,"SBrkr",1336,0,1336,1,0,1,0,2,1,"TA","Typ",2,"Attchd"
"302","Ex",1,"SBrkr",1210,1242,2452,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"303","Ex",1,"SBrkr",1541,0,1541,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"304","TA",1,"SBrkr",894,0,894,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"305","Ex",1,"SBrkr",1675,1818,3493,0,0,3,0,3,1,"Gd","Typ",1,"Attchd"
"306","Ex",1,"SBrkr",2000,0,2000,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"307","Gd",1,"SBrkr",1122,1121,2243,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"308","TA",1,"FuseA",1035,371,1406,0,0,1,0,3,1,"Fa","Typ",0,"No Garage"
"309","Ex",1,"SBrkr",861,0,861,0,0,1,0,1,1,"TA","Typ",0,"Detchd"
"310","Ex",1,"SBrkr",1944,0,1944,1,0,2,0,3,1,"Ex","Typ",3,"Attchd"
"311","Gd",1,"SBrkr",697,804,1501,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"312","Ex",1,"SBrkr",972,0,972,1,0,1,0,2,1,"TA","Typ",1,"Detchd"
"313","TA",1,"SBrkr",793,325,1118,1,0,1,0,3,1,"TA","Typ",1,"Detchd"
"314","TA",1,"SBrkr",2036,0,2036,2,0,2,0,3,1,"TA","Typ",2,"Attchd"
"315","Ex",1,"SBrkr",832,809,1641,0,1,1,1,3,1,"Ex","Typ",1,"Detchd"
"316","Ex",1,"SBrkr",716,716,1432,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"317","TA",1,"SBrkr",1153,1200,2353,1,0,2,1,4,1,"Ex","Typ",1,"Attchd"
"318","Ex",1,"SBrkr",1088,871,1959,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"319","Ex",1,"SBrkr",1372,1274,2646,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"320","TA",1,"SBrkr",1472,0,1472,1,0,2,0,3,1,"TA","Typ",2,"Attchd"
"321","Ex",1,"SBrkr",1249,1347,2596,0,0,3,1,4,1,"Gd","Typ",0,"Attchd"
"322","Ex",1,"SBrkr",1136,1332,2468,1,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"323","Ex",1,"SBrkr",1553,1177,2730,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"324","Ex",1,"SBrkr",1163,0,1163,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"325","Ex",1,"SBrkr",1898,1080,2978,0,0,2,1,5,1,"Gd","Typ",1,"BuiltIn"
"326","Po",0,"FuseF",803,0,803,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"327","Ex",1,"SBrkr",1719,0,1719,2,0,1,1,1,1,"Gd","Typ",2,"Attchd"
"328","TA",1,"SBrkr",1383,0,1383,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"329","Gd",0,"FuseA",1445,689,2134,0,0,2,0,5,1,"Gd","Typ",0,"Detchd"
"330","TA",0,"SBrkr",596,596,1192,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"331","TA",1,"SBrkr",1728,0,1728,0,1,2,0,6,2,"TA","Typ",0,"Detchd"
"332","Fa",1,"SBrkr",1056,0,1056,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"333","Ex",1,"SBrkr",1629,0,1629,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"334","Ex",1,"SBrkr",1358,0,1358,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"335","Gd",1,"SBrkr",943,695,1638,1,0,2,1,3,1,"TA","Typ",2,"Attchd"
"336","Ex",1,"SBrkr",1619,167,1786,2,0,2,0,3,1,"TA","Typ",2,"Attchd"
"337","Ex",1,"SBrkr",1922,0,1922,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"338","Ex",1,"SBrkr",1536,0,1536,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"339","Ex",1,"SBrkr",1621,0,1621,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"340","TA",1,"FuseA",1215,0,1215,0,0,1,0,3,1,"TA","Typ",0,"Attchd"
"341","Ex",1,"SBrkr",993,915,1908,0,0,2,1,4,1,"Gd","Typ",0,"Attchd"
"342","Gd",1,"SBrkr",841,0,841,0,0,1,0,2,1,"TA","Typ",0,"CarPort"
"343","Fa",0,"FuseA",1040,0,1040,0,0,2,0,2,2,"TA","Typ",0,"Detchd"
"344","Ex",1,"SBrkr",1684,0,1684,0,0,2,0,2,1,"Ex","Typ",1,"Attchd"
"345","TA",1,"SBrkr",536,576,1112,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"346","Gd",1,"SBrkr",972,605,1577,0,0,1,0,3,1,"Fa","Typ",1,"Detchd"
"347","TA",1,"SBrkr",958,0,958,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"348","Ex",1,"FuseA",1478,0,1478,1,0,2,0,3,1,"TA","Typ",2,"Attchd"
"349","Ex",1,"SBrkr",764,862,1626,1,0,2,1,2,1,"Gd","Typ",0,"BuiltIn"
"350","Ex",1,"SBrkr",1848,880,2728,1,0,2,1,4,1,"Ex","Typ",2,"Attchd"
"351","Ex",1,"SBrkr",1869,0,1869,0,0,2,0,2,1,"Ex","Typ",1,"Attchd"
"352","Gd",1,"SBrkr",1453,0,1453,1,0,1,1,2,1,"Gd","Typ",1,"Attchd"
"353","TA",0,"SBrkr",616,495,1111,0,1,1,0,3,1,"TA","Typ",0,"Detchd"
"354","Gd",1,"SBrkr",720,0,720,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"355","Ex",1,"SBrkr",1192,403,1595,0,0,1,0,2,1,"TA","Typ",2,"Attchd"
"356","Ex",1,"SBrkr",1200,0,1200,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"357","Gd",1,"SBrkr",1167,0,1167,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"358","TA",1,"SBrkr",1142,0,1142,1,0,1,1,3,1,"TA","Typ",1,"Attchd"
"359","Ex",1,"FuseF",1352,0,1352,0,1,1,0,3,1,"Gd","Deduction",0,"BuiltIn"
"360","Ex",1,"SBrkr",1086,838,1924,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"361","Ex",1,"SBrkr",912,0,912,1,0,1,0,2,1,"TA","Typ",1,"Attchd"
"362","Gd",1,"SBrkr",988,517,1505,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"363","Ex",1,"SBrkr",495,1427,1922,0,0,3,0,4,1,"Gd","Typ",1,"BuiltIn"
"364","Gd",1,"SBrkr",483,504,987,0,0,1,1,2,1,"Gd","Typ",0,"Detchd"
"365","TA",1,"SBrkr",790,784,1574,1,0,2,1,3,1,"TA","Typ",1,"Attchd"
"366","Gd",1,"FuseA",672,672,1344,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"367","Gd",1,"SBrkr",1394,0,1394,1,0,1,1,3,1,"TA","Typ",2,"Attchd"
"368","Gd",1,"SBrkr",1431,0,1431,0,1,1,0,3,1,"TA","Typ",1,"Basment"
"369","Gd",1,"SBrkr",1268,0,1268,0,0,1,0,2,1,"TA","Typ",1,"Attchd"
"370","Ex",1,"SBrkr",1287,0,1287,1,0,1,0,3,1,"Gd","Typ",1,"Detchd"
"371","Ex",1,"SBrkr",953,711,1664,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"372","TA",1,"SBrkr",1120,468,1588,0,0,2,0,4,1,"TA","Deduction",1,"Detchd"
"373","TA",1,"SBrkr",752,0,752,1,0,1,0,2,1,"TA","Typ",0,"Attchd"
"374","TA",1,"SBrkr",1319,0,1319,1,0,1,0,3,1,"TA","Deduction",0,"Attchd"
"375","Ex",1,"SBrkr",847,1081,1928,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"376","Gd",0,"FuseA",904,0,904,1,0,0,1,1,1,"Fa","Deduction",0,"No Garage"
"377","Ex",1,"SBrkr",914,0,914,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"378","Ex",1,"SBrkr",1580,886,2466,0,0,3,0,4,1,"Gd","Typ",1,"Attchd"
"379","Ex",1,"SBrkr",1856,0,1856,1,0,1,1,1,1,"Ex","Typ",1,"Attchd"
"380","Ex",1,"SBrkr",1007,793,1800,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"381","TA",1,"SBrkr",1026,665,1691,0,0,2,0,3,1,"Gd","Typ",1,"Detchd"
"382","Ex",1,"SBrkr",1301,0,1301,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"383","Ex",1,"SBrkr",939,858,1797,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"384","TA",0,"FuseA",784,0,784,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"385","Ex",1,"SBrkr",1079,874,1953,1,0,2,1,3,1,"Gd","Typ",2,"Attchd"
"386","Ex",1,"SBrkr",1269,0,1269,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"387","TA",1,"SBrkr",658,526,1184,0,0,1,0,5,1,"TA","Typ",0,"No Garage"
"388","Ex",1,"SBrkr",1125,0,1125,1,0,1,0,3,1,"TA","Typ",1,"Detchd"
"389","Ex",1,"SBrkr",1479,0,1479,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"390","Ex",1,"SBrkr",1742,590,2332,1,0,2,1,3,1,"Ex","Typ",1,"BuiltIn"
"391","Ex",1,"SBrkr",961,406,1367,1,0,1,0,4,1,"TA","Typ",0,"Detchd"
"392","Ex",1,"SBrkr",804,1157,1961,1,0,2,1,3,1,"Gd","Typ",1,"BuiltIn"
"393","TA",1,"SBrkr",882,0,882,0,0,1,0,3,1,"TA","Typ",0,"Attchd"
"394","TA",1,"FuseA",788,0,788,0,0,1,0,2,1,"TA","Typ",2,"No Garage"
"395","Gd",1,"FuseA",735,299,1034,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"396","TA",1,"SBrkr",1144,0,1144,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"397","TA",1,"SBrkr",894,0,894,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"398","TA",1,"SBrkr",876,936,1812,0,0,2,0,4,1,"TA","Typ",1,"Attchd"
"399","Gd",1,"Mix",1077,0,1077,0,0,1,0,2,1,"TA","Deduction",0,"Detchd"
"400","Ex",1,"SBrkr",1112,438,1550,1,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"401","Ex",1,"SBrkr",1288,0,1288,1,0,1,1,1,1,"Ex","Typ",2,"Attchd"
"402","Ex",1,"SBrkr",1310,0,1310,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"403","Ex",1,"SBrkr",672,0,672,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"404","Gd",1,"SBrkr",1165,1098,2263,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"405","Gd",1,"SBrkr",806,766,1572,0,0,2,1,3,1,"TA","Typ",1,"BuiltIn"
"406","Ex",1,"SBrkr",1620,0,1620,1,0,2,0,3,1,"TA","Deduction",1,"Attchd"
"407","Ex",1,"FuseA",1166,0,1639,0,0,1,0,3,1,"TA","Deduction",0,"Detchd"
"408","Ex",1,"SBrkr",840,840,1680,0,0,2,0,4,1,"TA","Typ",0,"Attchd"
"409","Ex",1,"SBrkr",1071,1101,2172,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"410","Ex",1,"SBrkr",1050,1028,2078,1,0,2,1,3,1,"Ex","Typ",1,"Attchd"
"411","TA",1,"FuseA",1276,0,1276,0,0,1,0,3,1,"TA","Deduction",0,"Attchd"
"412","TA",0,"SBrkr",1056,0,1056,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"413","Ex",1,"SBrkr",1478,0,1478,1,0,2,1,2,1,"Gd","Typ",1,"Attchd"
"414","Gd",1,"FuseA",1028,0,1028,0,0,1,0,2,1,"TA","Typ",1,"Detchd"
"415","Ex",1,"SBrkr",1080,1017,2097,0,1,2,1,3,1,"Gd","Typ",1,"Attchd"
"416","Ex",1,"SBrkr",1340,0,1340,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"417","TA",1,"SBrkr",672,728,1400,0,0,1,1,3,1,"TA","Typ",1,"Attchd"
"418","TA",0,"FuseA",1370,1254,2624,1,0,2,1,4,1,"TA","Typ",1,"Detchd"
"419","Fa",0,"FuseF",756,378,1134,1,0,1,1,3,1,"TA","Typ",0,"Detchd"
"420","Ex",1,"SBrkr",1056,0,1056,1,0,1,0,3,1,"TA","Typ",1,"Attchd"
"421","Ex",1,"SBrkr",1344,0,1344,2,0,2,0,2,2,"TA","Typ",0,"Attchd"
"422","Gd",1,"SBrkr",1602,0,1602,0,1,2,0,3,1,"Gd","Typ",1,"Attchd"
"423","Ex",1,"FuseA",988,0,988,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"424","Gd",1,"SBrkr",1470,1160,2630,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"425","Gd",1,"FuseA",1196,0,1196,1,0,1,0,2,1,"TA","Typ",1,"Attchd"
"426","Gd",1,"SBrkr",707,682,1389,0,0,1,1,3,1,"TA","Typ",2,"Detchd"
"427","Gd",1,"SBrkr",1644,0,1644,1,1,2,0,2,1,"Gd","Typ",1,"Attchd"
"428","Ex",1,"SBrkr",907,0,907,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"429","Ex",1,"SBrkr",1208,0,1208,1,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"430","TA",1,"SBrkr",1412,0,1412,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"431","TA",1,"SBrkr",483,504,987,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"432","Gd",1,"SBrkr",1088,110,1198,0,0,1,0,4,1,"TA","Typ",0,"No Garage"
"433","Ex",1,"SBrkr",765,600,1365,1,0,1,1,2,1,"TA","Deduction",0,"Detchd"
"434","Ex",1,"SBrkr",926,678,1604,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"435","Gd",1,"SBrkr",630,0,630,1,0,1,0,1,1,"TA","Typ",0,"No Garage"
"436","Ex",1,"SBrkr",827,834,1661,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"437","TA",1,"FuseA",734,384,1118,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"438","Gd",1,"SBrkr",904,0,904,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"439","TA",0,"SBrkr",694,0,694,0,0,1,0,2,1,"Gd","Typ",1,"Detchd"
"440","Gd",1,"SBrkr",684,512,1196,0,0,1,0,3,1,"Gd","Typ",0,"Detchd"
"441","Ex",1,"SBrkr",2402,0,2402,1,0,2,0,2,1,"Ex","Typ",2,"Attchd"
"442","TA",0,"FuseF",1440,0,1440,0,0,2,0,4,2,"Fa","Typ",0,"No Garage"
"443","TA",1,"SBrkr",1128,445,1573,0,0,2,0,3,1,"TA","Typ",1,"Detchd"
"444","Ex",1,"SBrkr",1258,0,1258,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"445","Ex",1,"SBrkr",933,975,1908,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"446","Fa",1,"SBrkr",1689,0,1689,0,0,1,0,3,1,"TA","Typ",1,"Attchd"
"447","Ex",1,"SBrkr",1888,0,1888,0,0,2,1,2,1,"Gd","Deduction",1,"Attchd"
"448","Gd",1,"SBrkr",956,930,1886,0,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"449","TA",1,"SBrkr",780,596,1376,0,0,2,0,3,1,"TA","Typ",1,"Detchd"
"450","Ex",1,"SBrkr",679,504,1183,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"451","Ex",1,"FuseA",813,0,813,0,0,1,0,2,1,"Gd","Typ",0,"Detchd"
"452","TA",1,"SBrkr",1533,0,1533,1,0,2,0,2,1,"Gd","Typ",2,"Attchd"
"453","Ex",1,"SBrkr",888,868,1756,1,0,2,1,3,1,"TA","Typ",0,"Attchd"
"454","Ex",1,"SBrkr",786,804,1590,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"455","TA",1,"SBrkr",1728,0,1728,2,0,2,0,4,2,"TA","Typ",0,"Detchd"
"456","Fa",1,"SBrkr",1242,0,1242,0,0,1,1,3,1,"TA","Typ",1,"Attchd"
"457","Fa",0,"SBrkr",624,720,1344,0,0,1,0,4,1,"TA","Typ",0,"Detchd"
"458","Ex",1,"SBrkr",1663,0,1663,1,0,1,0,2,1,"Gd","Deduction",2,"Attchd"
"459","Fa",1,"SBrkr",833,833,1666,0,0,1,0,3,1,"Gd","Typ",1,"Detchd"
"460","TA",1,"SBrkr",979,224,1203,1,0,1,0,3,1,"Gd","Typ",1,"Detchd"
"461","Ex",1,"SBrkr",832,1103,1935,1,0,2,1,3,1,"TA","Typ",0,"BuiltIn"
"462","Ex",1,"SBrkr",575,560,1135,1,0,1,0,3,1,"Gd","Typ",0,"Detchd"
"463","Gd",1,"SBrkr",864,0,864,0,0,1,0,3,1,"TA","Typ",1,"Detchd"
"464","Fa",1,"FuseA",849,811,1660,0,0,1,1,3,1,"TA","Typ",1,"Detchd"
"465","TA",1,"SBrkr",1040,0,1040,0,0,2,0,3,1,"TA","Typ",0,"No Garage"
"466","Ex",1,"SBrkr",1414,0,1414,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"467","TA",1,"SBrkr",1277,0,1277,1,0,1,0,2,1,"TA","Typ",1,"Attchd"
"468","Ex",1,"SBrkr",888,756,1644,0,0,1,1,3,1,"Gd","Typ",2,"Attchd"
"469","Ex",1,"SBrkr",1634,0,1634,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"470","Ex",1,"SBrkr",832,878,1710,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"471","TA",1,"SBrkr",1502,0,1502,1,0,1,1,1,1,"Gd","Typ",0,"Attchd"
"472","TA",1,"SBrkr",1161,808,1969,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"473","Ex",1,"SBrkr",1072,0,1072,1,0,1,0,2,1,"TA","Typ",0,"Basment"
"474","Ex",1,"SBrkr",1976,0,1976,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"475","Ex",1,"SBrkr",1652,0,1652,1,0,2,0,2,1,"Ex","Typ",0,"Attchd"
"476","TA",1,"SBrkr",970,0,970,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"477","Ex",1,"SBrkr",1493,0,1493,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"478","Ex",1,"SBrkr",2069,574,2643,0,0,2,1,3,1,"Ex","Typ",1,"BuiltIn"
"479","Ex",1,"SBrkr",1718,0,1718,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"480","TA",1,"SBrkr",1131,0,1131,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"481","Ex",1,"SBrkr",1850,0,1850,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"482","Ex",1,"SBrkr",1792,0,1792,1,0,2,0,2,1,"Ex","Typ",1,"Attchd"
"483","Ex",1,"SBrkr",916,910,1826,1,0,1,1,4,1,"Ex","Deduction",1,"Attchd"
"484","Ex",1,"SBrkr",1216,0,1216,1,0,2,0,2,1,"TA","Typ",0,"Attchd"
"485","Gd",1,"SBrkr",999,0,999,1,0,1,0,3,1,"Gd","Typ",0,"Detchd"
"486","Gd",1,"SBrkr",1113,0,1113,0,0,1,0,3,1,"Gd","Typ",1,"Attchd"
"487","TA",1,"SBrkr",1073,0,1073,1,0,1,1,3,1,"TA","Typ",0,"Attchd"
"488","Gd",1,"SBrkr",1484,0,1484,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"489","TA",0,"FuseA",1766,648,2414,0,0,2,0,3,2,"TA","Deduction",1,"Attchd"
"490","TA",1,"SBrkr",630,0,630,1,0,1,0,1,1,"Gd","Typ",0,"Attchd"
"491","TA",1,"SBrkr",616,688,1304,0,0,1,1,3,1,"TA","Typ",1,"BuiltIn"
"492","TA",1,"FuseA",958,620,1578,1,0,1,0,3,1,"Fa","Typ",2,"Attchd"
"493","Gd",1,"SBrkr",728,728,1456,0,0,2,1,3,1,"TA","Typ",0,"Attchd"
"494","TA",1,"FuseA",1269,0,1269,0,0,1,1,3,1,"TA","Typ",1,"Detchd"
"495","Gd",1,"FuseA",886,0,886,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"496","TA",0,"FuseA",720,0,720,0,0,1,0,2,1,"TA","Typ",0,"No Garage"
"497","Ex",1,"SBrkr",3228,0,3228,1,0,3,0,4,1,"Gd","Typ",1,"Attchd"
"498","Ex",1,"SBrkr",1133,687,1820,1,0,2,0,4,1,"TA","Typ",0,"Detchd"
"499","Ex",1,"SBrkr",899,0,899,0,0,1,0,3,1,"Gd","Typ",0,"Attchd"
"500","Fa",1,"SBrkr",912,0,912,0,1,1,0,2,1,"TA","Typ",0,"Attchd"
"501","TA",1,"SBrkr",672,546,1218,0,0,1,1,3,1,"TA","Typ",0,"Detchd"
"502","Gd",1,"SBrkr",866,902,1768,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"503","Ex",1,"SBrkr",1214,0,1214,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"504","TA",1,"SBrkr",1801,0,1801,1,0,2,0,1,1,"TA","Typ",2,"Attchd"
"505","TA",1,"SBrkr",855,467,1322,0,1,2,1,3,1,"TA","Typ",1,"Attchd"
"506","Gd",1,"SBrkr",960,1000,1960,0,0,2,0,4,2,"TA","Typ",0,"Detchd"
"507","Ex",1,"SBrkr",1065,846,1911,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"508","Ex",1,"SBrkr",1218,0,1218,0,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"509","Ex",1,"SBrkr",689,689,1378,0,0,2,0,3,1,"Gd","Typ",1,"Detchd"
"510","Ex",1,"SBrkr",1041,0,1041,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"511","Ex",1,"SBrkr",1363,0,1363,1,0,1,0,2,1,"TA","Deduction",2,"CarPort"
"512","Ex",1,"SBrkr",1368,0,1368,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"513","TA",1,"SBrkr",864,0,864,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"514","TA",1,"SBrkr",1080,0,1080,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"515","Fa",0,"SBrkr",789,0,789,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"516","Ex",1,"SBrkr",2020,0,2020,1,0,2,1,3,1,"Ex","Typ",1,"Attchd"
"517","TA",1,"SBrkr",1378,741,2119,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"518","Ex",1,"SBrkr",1277,1067,2344,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"519","Ex",1,"SBrkr",882,914,1796,1,0,2,1,3,1,"TA","Typ",0,"Attchd"
"520","Ex",1,"SBrkr",1276,804,2080,0,0,1,1,3,1,"Gd","Typ",2,"Detchd"
"521","TA",0,"FuseA",694,600,1294,0,0,2,0,3,2,"TA","Typ",0,"No Garage"
"522","Ex",1,"FuseA",1244,0,1244,0,0,1,1,3,1,"TA","Typ",2,"Attchd"
