"Id","MSSubClass","MSZoning","LotArea","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","house_age"
369,"20","RL",7800,"Lvl","Inside","NAmes","1Fam",5,6,56
370,"20","RL",9830,"Lvl","Corner","NAmes","1Fam",5,7,51
371,"60","RL",8121,"Lvl","Inside","Gilbert","1Fam",6,5,6
372,"50","RL",17120,"Lvl","Inside","ClearCr","1Fam",4,4,49
373,"120","RL",7175,"Lvl","Inside","SawyerW","TwnhsE",6,5,26
374,"20","RL",10634,"Lvl","Inside","NAmes","1Fam",5,6,56
375,"60","RL",8200,"Lvl","Inside","CollgCr","1Fam",7,5,4
376,"30","RL",10020,"Low","Inside","Edwards","1Fam",1,1,87
377,"85","RL",8846,"Lvl","CulDSac","CollgCr","1Fam",5,5,10
378,"60","FV",11143,"Lvl","Corner","Somerst","1Fam",8,5,3
379,"20","RL",11394,"Lvl","Corner","StoneBr","1Fam",9,2,0
380,"60","RL",8123,"Lvl","Inside","Gilbert","1Fam",6,5,9
381,"50","RL",5000,"Lvl","Inside","SWISU","1Fam",5,6,86
382,"20","FV",7200,"Lvl","Inside","Somerst","1Fam",7,5,0
383,"60","RL",9245,"Lvl","Inside","CollgCr","1Fam",7,5,1
384,"45","RH",9000,"Lvl","Corner","SawyerW","1Fam",6,3,81
385,"60","RL",53107,"Low","Corner","ClearCr","1Fam",6,5,15
386,"120","RL",3182,"Lvl","Inside","Blmngtn","TwnhsE",8,5,6
387,"50","RL",8410,"Lvl","FR2","Edwards","1Fam",5,3,96
388,"80","RL",7200,"Lvl","Inside","Edwards","1Fam",6,6,33
389,"20","RL",9382,"Lvl","CulDSac","CollgCr","1Fam",7,5,9
390,"60","RL",12474,"Lvl","Inside","NridgHt","1Fam",10,5,1
391,"50","RL",8405,"Lvl","Inside","Edwards","1Fam",5,8,108
392,"60","RL",12209,"Lvl","CulDSac","Mitchel","1Fam",6,5,8
393,"20","RL",8339,"Lvl","Inside","NAmes","1Fam",5,7,48
394,"30","RL",7446,"Lvl","Corner","BrkSide","1Fam",4,5,65
395,"50","RL",10134,"Lvl","Inside","OldTown","1Fam",5,6,67
396,"20","RL",9571,"Lvl","Inside","Edwards","1Fam",5,6,54
397,"20","RL",7200,"Low","Inside","CollgCr","1Fam",5,5,37
398,"60","RL",7590,"Lvl","Inside","NAmes","1Fam",5,5,45
399,"30","RM",8967,"Lvl","Corner","IDOTRR","1Fam",5,2,87
400,"60","FV",8125,"Lvl","Inside","Somerst","1Fam",7,5,3
401,"120","RL",14963,"Lvl","Inside","Veenker","TwnhsE",8,5,12
402,"20","RL",8767,"Lvl","Inside","CollgCr","1Fam",7,5,1
403,"30","RL",10200,"Lvl","Inside","Sawyer","1Fam",5,8,68
404,"60","RL",12090,"Lvl","Corner","NoRidge","1Fam",8,5,8
405,"60","RL",10364,"Lvl","Inside","Gilbert","1Fam",6,5,12
406,"20","RL",9991,"Lvl","Corner","Sawyer","1Fam",4,4,33
407,"50","RL",10480,"Lvl","Inside","SWISU","1Fam",6,5,72
408,"70","RL",15576,"Lvl","Inside","Crawfor","1Fam",6,7,93
409,"60","RL",14154,"Lvl","Corner","NridgHt","1Fam",7,5,1
410,"60","FV",10800,"Lvl","Inside","Somerst","1Fam",8,5,1
411,"20","RL",9571,"Lvl","Inside","Edwards","1Fam",5,3,51
412,"190","RL",34650,"Bnk","Inside","Gilbert","2fmCon",5,5,51
413,"20","FV",4403,"Lvl","Inside","Somerst","1Fam",7,5,1
414,"30","RM",8960,"Lvl","Inside","OldTown","1Fam",5,6,83
415,"60","RL",11228,"Lvl","CulDSac","SawyerW","1Fam",7,5,15
416,"20","RL",8899,"Lvl","Inside","Gilbert","1Fam",7,5,0
417,"60","RL",7844,"Lvl","Inside","Sawyer","1Fam",6,7,28
418,"70","RL",22420,"Lvl","Inside","Crawfor","1Fam",6,6,89
419,"50","RL",8160,"Lvl","Inside","Edwards","1Fam",5,6,67
420,"20","RL",8450,"Lvl","Inside","NAmes","1Fam",5,6,42
421,"90","RM",7060,"Lvl","Inside","Mitchel","Duplex",7,5,11
422,"20","RL",16635,"Lvl","FR2","NWAmes","1Fam",6,7,32
423,"20","RL",21750,"HLS","Inside","Mitchel","1Fam",5,5,54
424,"60","RL",9200,"Lvl","Inside","NoRidge","1Fam",8,5,10
425,"20","RL",9000,"Lvl","Inside","NAmes","1Fam",6,5,52
426,"60","RM",3378,"HLS","Inside","OldTown","1Fam",7,8,63
427,"80","RL",12800,"Low","Inside","SawyerW","1Fam",7,5,20
428,"20","RL",8593,"Lvl","Inside","NAmes","1Fam",4,6,51
429,"20","RL",6762,"Lvl","Inside","CollgCr","1Fam",7,5,0
430,"20","RL",11457,"Lvl","Corner","Timber","1Fam",6,5,21
431,"160","RM",1680,"Lvl","Inside","BrDale","Twnhs",6,5,37
432,"50","RM",5586,"Bnk","Inside","OldTown","1Fam",6,7,88
433,"160","RM",1920,"Lvl","Inside","BrDale","TwnhsE",5,5,36
434,"60","RL",10839,"Lvl","Corner","Gilbert","1Fam",6,5,11
435,"180","RM",1890,"Lvl","Inside","MeadowV","Twnhs",4,7,36
436,"60","RL",10667,"Lvl","CulDSac","CollgCr","1Fam",7,6,13
437,"50","RM",4400,"Lvl","Inside","OldTown","1Fam",6,8,86
438,"45","RM",6000,"Lvl","Inside","BrkSide","1Fam",6,7,83
439,"30","RL",4280,"Lvl","Inside","Crawfor","1Fam",5,6,94
440,"50","RL",12354,"Lvl","Corner","Edwards","1Fam",6,8,89
441,"20","RL",15431,"Lvl","Inside","NridgHt","1Fam",10,5,1
442,"90","RL",12108,"Lvl","Inside","Edwards","Duplex",4,4,53
443,"50","RM",6240,"Lvl","Inside","BrkSide","1Fam",5,7,78
444,"120","RL",3922,"Lvl","Inside","Blmngtn","TwnhsE",7,5,1
445,"60","RL",8750,"Lvl","Inside","CollgCr","1Fam",7,5,14
446,"20","RL",9855,"Lvl","Corner","Edwards","1Fam",6,5,53
447,"20","RL",16492,"Lvl","Corner","NAmes","1Fam",6,6,44
448,"60","RL",11214,"Lvl","Corner","Gilbert","1Fam",7,5,8
449,"50","RM",8600,"Bnk","Inside","IDOTRR","1Fam",6,6,69
450,"50","RM",6000,"Lvl","Inside","OldTown","1Fam",3,7,59
451,"30","RM",5684,"Lvl","Inside","OldTown","1Fam",6,8,76
452,"20","RL",70761,"Low","Inside","ClearCr","1Fam",7,5,31
453,"60","RL",9303,"Lvl","Corner","Timber","1Fam",6,5,11
454,"60","FV",9000,"Lvl","Inside","Somerst","1Fam",8,5,1
455,"90","RL",9297,"Lvl","Inside","Mitchel","Duplex",5,5,30
456,"20","RL",9600,"Lvl","Inside","NWAmes","1Fam",7,6,34
457,"70","RM",4571,"Lvl","Inside","OldTown","1Fam",5,5,92
458,"20","RL",53227,"Low","CulDSac","ClearCr","1Fam",4,6,54
459,"70","RM",5100,"Lvl","Inside","OldTown","1Fam",8,7,83
460,"50","RL",7015,"Bnk","Corner","BrkSide","1Fam",5,4,59
461,"60","FV",8004,"Lvl","Inside","Somerst","1Fam",8,5,0
462,"70","RL",7200,"Lvl","Inside","SWISU","1Fam",7,9,73
463,"20","RL",8281,"Lvl","Inside","Sawyer","1Fam",5,5,44
464,"70","RL",11988,"HLS","Inside","Crawfor","1Fam",6,7,74
465,"20","RL",8430,"HLS","Inside","CollgCr","1Fam",5,5,31
466,"120","RM",3072,"Lvl","Inside","Blmngtn","TwnhsE",7,5,2
467,"20","RL",10628,"Lvl","Inside","NAmes","1Fam",7,5,37
468,"70","RL",9480,"Lvl","Inside","NAmes","1Fam",5,7,65
469,"20","RL",11428,"Lvl","Inside","NridgHt","1Fam",8,5,1
470,"60","RL",9291,"Lvl","Corner","SawyerW","1Fam",6,5,15
471,"120","RL",6820,"Lvl","Corner","StoneBr","TwnhsE",8,5,25
472,"60","RL",11952,"Lvl","Inside","NWAmes","1Fam",7,6,30
473,"180","RM",3675,"Lvl","Inside","Edwards","TwnhsE",6,5,3
474,"20","RL",14977,"Lvl","Inside","NridgHt","1Fam",8,5,1
475,"120","RL",5330,"Lvl","Inside","StoneBr","TwnhsE",8,5,7
476,"20","RL",8480,"Lvl","Corner","Sawyer","1Fam",5,6,44
477,"20","RL",13125,"Lvl","Inside","CollgCr","1Fam",6,5,11
478,"60","RL",13693,"Lvl","Inside","NridgHt","1Fam",9,5,1
479,"20","RL",10637,"Lvl","Inside","CollgCr","1Fam",8,5,2
480,"30","RM",5925,"Bnk","Inside","OldTown","1Fam",4,7,70
481,"20","RL",16033,"Lvl","FR2","NridgHt","1Fam",9,5,2
482,"20","RL",11846,"HLS","Inside","NridgHt","1Fam",9,5,3
483,"70","RM",2500,"Lvl","Corner","OldTown","1Fam",7,8,94
484,"120","RM",4500,"Lvl","FR2","Mitchel","Twnhs",6,5,8
485,"20","RL",7758,"Lvl","Corner","Sawyer","1Fam",5,7,45
486,"20","RL",9600,"Lvl","Inside","NAmes","1Fam",5,7,59
487,"20","RL",10289,"Lvl","Inside","NAmes","1Fam",5,7,42
488,"20","RL",12243,"Lvl","Inside","NWAmes","1Fam",5,6,36
489,"190","RL",10800,"Lvl","Corner","OldTown","2fmCon",5,4,106
490,"180","RM",1526,"Lvl","Inside","MeadowV","Twnhs",4,8,39
491,"160","RM",2665,"Lvl","Inside","MeadowV","TwnhsE",5,6,32
492,"50","RL",9490,"Lvl","Inside","NAmes","1Fam",6,7,65
493,"60","RL",15578,"Lvl","Corner","Gilbert","1Fam",6,5,0
494,"20","RL",7931,"Lvl","Inside","NAmes","1Fam",5,6,48
495,"30","RM",5784,"Lvl","Inside","OldTown","1Fam",5,8,71
496,"30","C (all)",7879,"Lvl","Inside","IDOTRR","1Fam",4,5,89
497,"20","RL",12692,"Lvl","Inside","NoRidge","1Fam",8,5,15
498,"50","RL",9120,"Lvl","Inside","BrkSide","1Fam",7,6,83
499,"20","RL",7800,"Lvl","Inside","Sawyer","1Fam",5,7,42
500,"20","RL",7535,"Lvl","Inside","NAmes","1Fam",5,7,49
501,"160","RM",1890,"Lvl","Inside","BrDale","Twnhs",6,5,34
502,"60","FV",9803,"Lvl","Inside","Somerst","1Fam",7,5,3
503,"20","RL",9170,"Lvl","Corner","Edwards","1Fam",5,7,42
504,"20","RL",15602,"Lvl","Inside","Crawfor","1Fam",7,8,51
505,"160","RL",2308,"Lvl","Inside","NPkVill","TwnhsE",6,5,35
506,"90","RM",7596,"Lvl","Inside","OldTown","Duplex",5,5,57
507,"60","RL",9554,"Lvl","Inside","SawyerW","1Fam",8,5,13
508,"20","FV",7862,"Lvl","Inside","Somerst","1Fam",6,5,0
509,"70","RM",9600,"Lvl","Inside","OldTown","1Fam",7,9,80
510,"20","RL",9600,"Lvl","Corner","NAmes","1Fam",5,6,50
511,"20","RL",14559,"Lvl","Inside","NAmes","1Fam",5,7,58
512,"120","RL",6792,"Lvl","Inside","NridgHt","TwnhsE",7,5,1
513,"20","RL",9100,"Lvl","Corner","NAmes","1Fam",5,5,48
514,"20","RL",9187,"Bnk","Corner","Mitchel","1Fam",6,5,24
515,"45","RL",10594,"Lvl","Inside","Crawfor","1Fam",5,5,81
516,"20","RL",12220,"Lvl","Inside","NridgHt","1Fam",10,5,0
517,"80","RL",10448,"Lvl","Corner","NWAmes","1Fam",6,6,37
518,"60","RL",10208,"Lvl","Inside","NoRidge","1Fam",7,5,13
519,"60","RL",9531,"Lvl","CulDSac","CollgCr","1Fam",6,5,9
520,"70","RL",10918,"Lvl","Inside","Crawfor","1Fam",7,9,83
521,"190","RL",10800,"Lvl","Inside","OldTown","2fmCon",4,7,108
522,"20","RL",11988,"Lvl","Corner","NAmes","1Fam",6,6,50
523,"50","RM",5000,"Lvl","Corner","BrkSide","1Fam",6,7,59
524,"60","RL",40094,"Bnk","Inside","Edwards","1Fam",10,5,0
525,"60","RL",11787,"Lvl","Inside","NoRidge","1Fam",7,5,11
526,"20","FV",7500,"Lvl","Inside","Somerst","1Fam",7,5,1
527,"20","RL",13300,"Lvl","Inside","NAmes","1Fam",5,7,51
528,"60","RL",14948,"Lvl","Inside","NridgHt","1Fam",9,5,0
529,"30","RL",9098,"Lvl","Inside","Edwards","1Fam",4,7,87
530,"20","RL",32668,"Lvl","CulDSac","Crawfor","1Fam",6,3,50
531,"80","RL",10200,"Lvl","Inside","Timber","1Fam",6,5,20
532,"70","RM",6155,"Lvl","FR3","BrkSide","1Fam",6,8,88
533,"20","RL",7200,"Lvl","Inside","NAmes","1Fam",5,7,55
534,"20","RL",5000,"Low","Inside","BrkSide","1Fam",1,3,61
535,"60","RL",9056,"Lvl","Inside","Gilbert","1Fam",8,5,2
536,"190","RL",7000,"Lvl","Inside","Edwards","2fmCon",5,7,98
537,"60","RL",8924,"Lvl","CulDSac","CollgCr","1Fam",7,5,10
538,"20","RL",12735,"Lvl","FR2","NAmes","1Fam",4,5,36
539,"20","RL",11553,"Lvl","Inside","Sawyer","1Fam",5,5,38
540,"20","RL",11423,"Lvl","Inside","CollgCr","1Fam",8,5,9
541,"20","RL",14601,"Lvl","Inside","Timber","1Fam",9,5,3
542,"60","RL",11000,"Lvl","FR2","NoRidge","1Fam",8,5,7
543,"20","RL",10140,"Lvl","Inside","NWAmes","1Fam",7,5,11
544,"120","RH",4058,"Lvl","Inside","NAmes","TwnhsE",7,5,9
545,"60","RL",17104,"Lvl","Inside","Gilbert","1Fam",7,5,0
546,"50","RL",13837,"Lvl","Corner","NWAmes","1Fam",7,5,18
547,"50","RL",8737,"Bnk","Inside","BrkSide","1Fam",6,7,84
548,"85","RL",7244,"Lvl","Inside","Mitchel","1Fam",5,7,37
549,"20","RM",8235,"HLS","Inside","OldTown","1Fam",5,7,53
550,"60","FV",9375,"Lvl","Inside","Somerst","1Fam",7,5,6
551,"120","RL",4043,"Lvl","Inside","NPkVill","TwnhsE",6,6,31
552,"20","RM",6000,"Lvl","Inside","OldTown","1Fam",5,6,51
553,"20","RL",11146,"Lvl","Inside","NridgHt","1Fam",8,5,3
554,"20","RL",8777,"Lvl","Inside","Edwards","1Fam",4,5,60
555,"60","RL",10625,"Lvl","Inside","NridgHt","1Fam",7,5,5
556,"45","RM",6380,"Lvl","Inside","BrkSide","1Fam",5,6,84
557,"20","RL",14850,"Lvl","Inside","NAmes","1Fam",5,5,49
558,"50","C (all)",11040,"Low","Inside","IDOTRR","1Fam",4,6,86
559,"60","RL",21872,"HLS","FR2","Gilbert","1Fam",7,5,12
560,"120","RL",3196,"Lvl","Inside","Blmngtn","TwnhsE",7,5,3
561,"20","RL",11341,"Lvl","Inside","Sawyer","1Fam",5,6,53
562,"20","RL",10010,"Lvl","Inside","Mitchel","1Fam",5,5,32
563,"30","RL",13907,"Lvl","Inside","Edwards","1Fam",5,6,68
564,"50","RL",21780,"Lvl","Inside","Edwards","1Fam",6,7,90
565,"60","RL",13346,"Lvl","CulDSac","NoRidge","1Fam",7,5,14
566,"70","RL",6858,"Bnk","Corner","SWISU","1Fam",6,4,95
567,"60","RL",11198,"Lvl","Inside","StoneBr","1Fam",9,5,3
568,"20","RL",10171,"Lvl","Inside","NridgHt","1Fam",7,5,6
569,"50","RL",12327,"Low","Inside","SawyerW","1Fam",8,8,26
570,"90","RL",7032,"Lvl","Corner","NAmes","Duplex",5,5,27
571,"90","RL",13101,"Lvl","Inside","NAmes","Duplex",5,5,43
572,"20","RL",7332,"Lvl","Inside","NAmes","1Fam",6,6,47
573,"60","RL",13159,"HLS","Corner","Timber","1Fam",7,5,0
574,"80","RL",9967,"Lvl","Inside","Gilbert","1Fam",7,5,7
575,"80","RL",10500,"Lvl","FR2","NAmes","1Fam",5,7,36
576,"50","RL",8480,"Lvl","Inside","NAmes","1Fam",5,5,61
577,"50","RL",6292,"Lvl","Inside","SWISU","1Fam",7,7,81
578,"80","RL",11777,"Lvl","Inside","Sawyer","1Fam",5,6,40
579,"160","FV",3604,"Lvl","Corner","Somerst","TwnhsE",7,5,1
580,"50","RM",12150,"Lvl","Inside","OldTown","1Fam",5,5,54
581,"20","RL",14585,"Lvl","CulDSac","NAmes","1Fam",6,6,47
582,"20","RL",12704,"Lvl","Inside","NridgHt","1Fam",8,5,1
583,"90","RL",11841,"Lvl","Inside","Edwards","Duplex",6,5,17
584,"75","RM",13500,"Lvl","Inside","OldTown","1Fam",10,9,115
585,"50","RM",6120,"Lvl","Inside","BrkSide","1Fam",4,7,74
586,"20","RL",11443,"Lvl","Inside","Timber","1Fam",8,5,1
587,"30","RL",10267,"Lvl","Inside","BrkSide","1Fam",6,7,90
588,"85","RL",8740,"Lvl","Inside","Sawyer","1Fam",5,6,27
589,"20","RL",25095,"Low","Inside","ClearCr","1Fam",5,8,41
590,"40","RM",9100,"Lvl","Inside","BrkSide","1Fam",5,6,78
591,"60","RL",8320,"Lvl","Inside","CollgCr","1Fam",7,5,4
592,"60","RL",13478,"Lvl","Corner","NridgHt","1Fam",10,5,1
593,"20","RL",6600,"Lvl","Inside","Mitchel","1Fam",5,8,26
594,"120","RM",4435,"Lvl","Inside","CollgCr","TwnhsE",6,5,6
595,"20","RL",7990,"Lvl","Inside","CollgCr","1Fam",5,6,33
596,"20","RL",11302,"Lvl","Inside","StoneBr","1Fam",8,5,1
597,"70","RM",3600,"Lvl","Inside","OldTown","1Fam",6,7,96
598,"120","RL",3922,"Lvl","Inside","Blmngtn","TwnhsE",7,5,1
599,"20","RL",12984,"Bnk","Inside","Crawfor","1Fam",5,6,29
600,"160","RM",1950,"Lvl","Inside","Blueste","Twnhs",6,6,28
601,"60","RL",10927,"Lvl","Inside","NridgHt","1Fam",8,5,1
602,"50","RM",9000,"Bnk","Inside","IDOTRR","1Fam",6,6,70
603,"60","RL",10041,"Lvl","Inside","SawyerW","1Fam",8,5,14
604,"160","FV",3182,"Lvl","Inside","Somerst","TwnhsE",7,5,6
605,"20","RL",12803,"Lvl","Inside","CollgCr","1Fam",7,5,6
606,"60","RL",13600,"Lvl","Inside","NAmes","1Fam",7,6,44
607,"20","RL",12464,"Low","Corner","CollgCr","1Fam",5,5,13
608,"20","RL",7800,"Bnk","Inside","Edwards","1Fam",5,8,58
609,"70","RL",12168,"HLS","Inside","Crawfor","1Fam",8,6,73
610,"20","RL",7943,"Lvl","Inside","Sawyer","1Fam",4,5,46
611,"60","RL",11050,"Lvl","Inside","CollgCr","1Fam",9,5,9
612,"80","RL",10395,"Lvl","FR2","NWAmes","1Fam",6,6,29
613,"60","RL",11885,"Lvl","Inside","CollgCr","1Fam",8,5,8
614,"20","RL",8402,"Lvl","Inside","Mitchel","1Fam",5,5,0
615,"180","RM",1491,"Lvl","Inside","MeadowV","TwnhsE",4,6,38
616,"85","RL",8800,"Lvl","Inside","NAmes","1Fam",6,7,47
617,"60","RL",7861,"Lvl","Inside","Gilbert","1Fam",6,5,4
618,"45","RL",7227,"HLS","Corner","NAmes","1Fam",6,6,54
619,"20","RL",11694,"Lvl","Inside","NridgHt","1Fam",9,5,0
620,"60","RL",12244,"Lvl","Inside","Timber","1Fam",8,5,5
621,"30","RL",8248,"Lvl","Inside","Edwards","1Fam",3,3,94
622,"60","RL",10800,"Lvl","Inside","NWAmes","1Fam",6,7,34
623,"20","RL",7064,"Lvl","Inside","Sawyer","1Fam",5,6,32
624,"160","FV",2117,"Lvl","Inside","Somerst","TwnhsE",6,5,7
625,"60","RL",10400,"Lvl","Inside","NWAmes","1Fam",6,5,34
626,"20","RL",10000,"Lvl","Corner","NAmes","1Fam",6,6,48
627,"20","RL",12342,"Lvl","Inside","NAmes","1Fam",5,5,47
628,"80","RL",9600,"Lvl","Inside","NAmes","1Fam",6,6,55
629,"60","RL",11606,"HLS","Inside","NAmes","1Fam",5,5,38
630,"80","RL",9020,"Lvl","Corner","NAmes","1Fam",6,5,44
631,"70","RM",9000,"Lvl","Corner","OldTown","1Fam",5,6,126
632,"120","RL",4590,"Lvl","Inside","NridgHt","Twnhs",8,5,1
633,"20","RL",11900,"Lvl","Inside","NWAmes","1Fam",7,5,32
634,"20","RL",9250,"Lvl","Corner","NAmes","1Fam",5,7,53
635,"90","RL",6979,"Lvl","Inside","OldTown","Duplex",6,5,30
636,"190","RH",10896,"Bnk","Inside","SWISU","2fmCon",6,7,93
637,"30","RM",6120,"Lvl","Inside","BrkSide","1Fam",2,3,73
638,"190","RM",6000,"Lvl","Inside","OldTown","2fmCon",5,4,55
639,"30","RL",8777,"Lvl","Inside","Edwards","1Fam",5,7,98
640,"120","RL",3982,"Lvl","Inside","Blmngtn","TwnhsE",8,5,0
641,"120","RL",12677,"Lvl","Inside","NridgHt","TwnhsE",8,5,5
642,"60","FV",7050,"Lvl","Inside","Somerst","1Fam",7,5,6
643,"80","RL",13860,"Lvl","Inside","NAmes","1Fam",8,7,37
644,"60","RL",10793,"Lvl","Inside","NWAmes","1Fam",5,5,38
645,"20","FV",9187,"Lvl","Inside","Somerst","1Fam",9,5,0
646,"20","RL",10530,"Lvl","Corner","NAmes","1Fam",6,5,36
647,"20","RL",7200,"Lvl","Inside","NAmes","1Fam",5,5,58
648,"20","RL",10452,"Lvl","Inside","Edwards","1Fam",6,5,55
649,"60","RL",7700,"Lvl","Inside","NAmes","1Fam",6,5,44
650,"180","RM",1936,"Lvl","Inside","MeadowV","Twnhs",4,6,37
651,"60","FV",8125,"Lvl","Inside","Somerst","1Fam",7,6,1
652,"70","RL",9084,"Lvl","Inside","Edwards","1Fam",4,5,69
653,"60","RL",8750,"Lvl","Inside","CollgCr","1Fam",7,5,13
654,"50","RM",10320,"Lvl","Inside","IDOTRR","1Fam",6,7,102
655,"20","RL",10437,"Lvl","Inside","NoRidge","1Fam",8,6,13
656,"160","RM",1680,"Lvl","Inside","BrDale","Twnhs",6,5,39
657,"20","RL",10007,"Lvl","Inside","NAmes","1Fam",5,7,49
658,"70","RL",7200,"HLS","Inside","Crawfor","1Fam",7,6,77
659,"50","RL",17503,"Lvl","Inside","NAmes","1Fam",6,5,62
660,"20","RL",9937,"Lvl","Corner","Edwards","1Fam",5,7,45
661,"60","RL",12384,"Lvl","CulDSac","NWAmes","1Fam",7,7,31
662,"60","RL",46589,"Lvl","CulDSac","NoRidge","1Fam",8,7,15
663,"20","RL",13560,"Lvl","Corner","NAmes","1Fam",6,3,41
664,"85","RL",10012,"Lvl","Inside","Edwards","1Fam",4,5,36
665,"20","RL",20896,"Lvl","CulDSac","Somerst","1Fam",8,5,1
666,"60","RL",11194,"Lvl","Corner","Gilbert","1Fam",8,5,6
667,"60","RL",18450,"Lvl","Inside","NAmes","1Fam",6,5,42
668,"20","RL",8125,"Lvl","Inside","SawyerW","1Fam",6,5,14
669,"20","RL",14175,"Bnk","Corner","Sawyer","1Fam",5,6,50
670,"30","RL",11600,"Lvl","Inside","Crawfor","1Fam",4,5,84
671,"60","RL",8633,"Lvl","FR2","CollgCr","1Fam",6,5,4
672,"70","RH",6629,"Lvl","Inside","Edwards","1Fam",6,6,84
673,"20","RL",11250,"Lvl","Inside","Veenker","1Fam",6,6,29
674,"20","RL",14442,"Lvl","Inside","Crawfor","1Fam",6,7,50
675,"20","RL",9200,"Lvl","Inside","NAmes","1Fam",6,6,43
676,"160","RL",2289,"Lvl","Inside","NPkVill","Twnhs",6,6,31
677,"70","RM",9600,"Lvl","Inside","OldTown","1Fam",4,2,106
678,"30","RL",9022,"Lvl","Inside","OldTown","1Fam",5,8,85
679,"20","RL",11844,"Lvl","Inside","StoneBr","1Fam",8,5,1
680,"20","RL",9945,"Lvl","Inside","Sawyer","1Fam",5,5,46
681,"120","RL",8012,"Lvl","Inside","SawyerW","TwnhsE",6,5,30
682,"50","RH",4500,"Bnk","Inside","SWISU","1Fam",5,5,77
683,"120","RL",2887,"HLS","Inside","ClearCr","1Fam",6,5,12
684,"20","RL",11248,"Lvl","Corner","CollgCr","1Fam",9,5,5
685,"60","RL",16770,"Lvl","CulDSac","NoRidge","1Fam",7,5,12
686,"160","RL",5062,"Lvl","CulDSac","StoneBr","TwnhsE",7,5,23
687,"60","FV",10207,"Lvl","Inside","Somerst","1Fam",7,6,0
688,"160","FV",5105,"Lvl","FR2","Somerst","TwnhsE",7,5,3
689,"20","RL",8089,"HLS","Inside","StoneBr","1Fam",8,6,0
690,"120","RL",7577,"Lvl","Corner","NridgHt","TwnhsE",6,5,2
691,"120","RM",4426,"Lvl","Inside","CollgCr","TwnhsE",6,5,4
692,"60","RL",21535,"Lvl","Corner","NoRidge","1Fam",10,6,13
693,"60","RL",26178,"Lvl","Inside","Timber","1Fam",7,5,17
694,"30","RL",5400,"Lvl","Corner","OldTown","1Fam",5,6,85
695,"50","RM",6120,"Lvl","Corner","BrkSide","1Fam",5,6,73
696,"20","RL",13811,"Lvl","Inside","Timber","1Fam",6,6,19
697,"30","RM",6000,"Lvl","Inside","BrkSide","1Fam",5,7,85
698,"20","RL",6420,"Lvl","Inside","Edwards","1Fam",5,7,54
699,"20","RL",8450,"Lvl","Inside","Sawyer","1Fam",5,8,45
700,"120","FV",4282,"Lvl","Inside","Somerst","TwnhsE",7,5,4
701,"20","RL",14331,"Lvl","Inside","Timber","1Fam",8,5,4
702,"20","RL",9600,"Lvl","Inside","NWAmes","1Fam",7,5,37
703,"60","RL",12438,"Lvl","Inside","StoneBr","1Fam",8,5,0
704,"190","RM",7630,"Lvl","Inside","OldTown","2fmCon",5,9,110
705,"20","RL",8400,"Lvl","Inside","CollgCr","1Fam",7,5,6
706,"190","RM",5600,"Lvl","Inside","IDOTRR","2fmCon",4,5,80
707,"20","RL",115149,"Low","CulDSac","ClearCr","1Fam",7,5,36
708,"120","RL",6240,"Lvl","Inside","NridgHt","TwnhsE",8,5,3
709,"60","RL",9018,"Lvl","Inside","Gilbert","1Fam",7,5,0
710,"20","RL",7162,"Lvl","Inside","Sawyer","1Fam",5,7,42
711,"30","RL",4130,"Lvl","Inside","BrkSide","1Fam",3,6,73
712,"50","C (all)",8712,"HLS","Inside","IDOTRR","1Fam",4,7,110
713,"120","RL",4671,"HLS","Inside","StoneBr","TwnhsE",8,5,20
714,"190","RL",9873,"Lvl","Inside","BrkSide","2fmCon",4,5,36
715,"60","RL",13517,"Lvl","CulDSac","Sawyer","1Fam",6,8,34
716,"20","RL",10140,"Lvl","Inside","NWAmes","1Fam",6,5,35
717,"70","RM",10800,"Bnk","Inside","OldTown","1Fam",7,8,117
718,"20","RL",10000,"Lvl","Inside","NWAmes","1Fam",5,6,35
719,"60","RL",10542,"Lvl","Inside","NoRidge","1Fam",7,5,15
720,"20","RL",9920,"Lvl","Inside","CollgCr","1Fam",5,6,37
721,"120","RL",6563,"Low","CulDSac","StoneBr","1Fam",8,5,21
722,"120","RM",4426,"Lvl","Inside","CollgCr","TwnhsE",6,5,6
723,"20","RL",8120,"Lvl","Inside","NAmes","1Fam",4,7,39
724,"50","RL",8172,"Lvl","Inside","Edwards","1Fam",4,6,54
725,"20","RL",13286,"Lvl","Inside","Edwards","1Fam",9,5,2
726,"20","RL",6960,"Lvl","Inside","NAmes","1Fam",4,6,39
727,"20","RL",21695,"Lvl","Corner","Crawfor","1Fam",6,9,21
728,"20","RL",7314,"Lvl","Inside","CollgCr","1Fam",7,5,2
729,"90","RL",11475,"Lvl","Corner","NAmes","Duplex",5,5,51
730,"30","RM",6240,"Lvl","Inside","IDOTRR","1Fam",4,5,84
731,"120","RL",5389,"Lvl","Inside","StoneBr","TwnhsE",8,5,15
732,"80","RL",9590,"Lvl","Corner","Timber","1Fam",7,5,4
733,"60","RL",11404,"Lvl","Inside","CollgCr","1Fam",7,5,10
734,"20","RL",10000,"Lvl","Corner","Sawyer","1Fam",5,6,48
735,"20","RL",8978,"Lvl","Corner","Sawyer","1Fam",5,5,39
736,"75","RM",10800,"Lvl","Inside","OldTown","1Fam",7,7,92
